Bank,Loan_Type,Amount,Interest_Rate,Issue_Date,Tenor_Years,Status,Is_NPA,Region,Amount_Band,Issue_Year,Issue_Month
Barclays,Business Loan,1468897.0,7.46,2022-05-13,5,Current,0,UK,500K+,2022,5
Barclays,Mortgage,193302.51,6.44,2020-11-26,10,Current,0,US,50-200K,2020,11
Barclays,Credit Card,2161.99,8.06,2019-10-29,1,Current,0,US,<10K,2019,10
Barclays,Mortgage,121108.34,9.84,2022-03-18,3,Current,0,US,50-200K,2022,3
Barclays,Mortgage,240443.74,8.71,2021-10-31,10,Current,0,US,200-500K,2021,10
Barclays,Credit Card,22379.85,7.54,2022-12-15,25,Current,0,Asia,10-50K,2022,12
Barclays,Mortgage,289965.56,10.38,2019-08-16,5,Current,0,Europe,200-500K,2019,8
Barclays,Business Loan,80985.73,12.38,2022-04-07,1,Current,0,UK,50-200K,2022,4
Barclays,Business Loan,1845997.43,6.61,2019-01-02,20,Current,0,UK,500K+,2019,1
Barclays,Mortgage,494832.11,10.01,2022-06-17,15,Current,0,US,200-500K,2022,6
Barclays,Personal Loan,38926.11,8.57,2022-05-11,1,Current,0,Asia,10-50K,2022,5
Barclays,Mortgage,462074.57,9.59,2022-08-25,25,Current,0,UK,200-500K,2022,8
Barclays,Credit Card,4089.22,5.61,2019-06-04,5,Current,0,UK,<10K,2019,6
Barclays,Personal Loan,5044.06,8.94,2022-04-01,25,Current,0,Europe,<10K,2022,4
Barclays,Business Loan,1805015.93,6.62,2023-11-09,2,Current,0,UK,500K+,2023,11
Barclays,Personal Loan,23400.54,8.63,2019-05-31,5,Current,0,Europe,10-50K,2019,5
Barclays,Business Loan,1616207.84,10.4,2023-10-29,1,Current,0,Asia,500K+,2023,10
Barclays,Personal Loan,36519.03,10.97,2021-10-17,5,Current,0,UK,10-50K,2021,10
Barclays,Business Loan,1726308.62,8.5,2019-02-15,10,Current,0,Asia,500K+,2019,2
Barclays,Auto Loan,23004.44,11.43,2020-07-19,2,Current,0,US,10-50K,2020,7
Barclays,Auto Loan,46083.88,8.63,2021-03-03,25,Current,0,UK,10-50K,2021,3
Barclays,Mortgage,167723.21,8.57,2019-07-29,20,Current,0,Asia,50-200K,2019,7
Barclays,Mortgage,150567.34,7.76,2019-03-04,30,Current,0,US,50-200K,2019,3
Barclays,Personal Loan,5580.39,7.62,2022-09-02,1,Current,0,Middle East,<10K,2022,9
Barclays,Mortgage,313963.39,4.28,2023-10-03,25,Current,0,US,200-500K,2023,10
Barclays,Personal Loan,39711.37,11.47,2021-06-22,25,Current,0,Asia,10-50K,2021,6
Barclays,Business Loan,920444.01,7.99,2021-10-16,5,Current,0,US,500K+,2021,10
Barclays,Credit Card,22343.22,6.0,2022-07-20,2,Current,0,Asia,10-50K,2022,7
Barclays,Auto Loan,12439.93,9.86,2023-04-14,1,Current,0,Europe,10-50K,2023,4
Barclays,Personal Loan,6476.56,7.61,2020-10-12,25,Current,0,US,<10K,2020,10
Barclays,Mortgage,388071.05,10.27,2020-10-07,2,Current,0,Europe,200-500K,2020,10
Barclays,Auto Loan,46943.2,8.89,2022-12-08,10,Current,0,UK,10-50K,2022,12
Barclays,Mortgage,283205.91,9.07,2019-04-24,10,Current,0,Middle East,200-500K,2019,4
Barclays,Mortgage,443539.96,10.59,2023-06-03,3,Current,0,Middle East,200-500K,2023,6
Barclays,Business Loan,1756049.64,11.17,2019-10-11,15,Current,0,Europe,500K+,2019,10
Barclays,Personal Loan,22741.84,12.46,2019-01-07,3,Current,0,Asia,10-50K,2019,1
Barclays,Mortgage,197704.12,8.96,2022-03-16,3,Current,0,Asia,50-200K,2022,3
Barclays,Mortgage,187745.61,8.0,2019-07-01,20,Current,0,UK,50-200K,2019,7
Barclays,Mortgage,110584.35,9.48,2020-07-14,2,Current,0,US,50-200K,2020,7
Barclays,Mortgage,262096.87,4.31,2022-05-06,25,Current,0,UK,200-500K,2022,5
Barclays,Business Loan,1522066.13,7.85,2021-04-19,2,Current,0,UK,500K+,2021,4
Barclays,Business Loan,1595699.06,11.65,2019-10-06,10,Current,0,Asia,500K+,2019,10
Barclays,Business Loan,626334.05,6.08,2022-03-13,1,Current,0,US,500K+,2022,3
Barclays,Credit Card,21823.97,7.54,2019-09-24,2,Current,0,US,10-50K,2019,9
Barclays,Mortgage,383587.03,5.93,2020-07-11,30,Current,0,UK,200-500K,2020,7
Barclays,Personal Loan,34576.6,6.6,2021-03-07,2,Current,0,Europe,10-50K,2021,3
Barclays,Mortgage,103163.96,7.35,2020-07-08,2,Current,0,Europe,50-200K,2020,7
Barclays,Credit Card,17744.77,4.71,2022-06-10,15,Current,0,US,10-50K,2022,6
Barclays,Auto Loan,56086.08,5.36,2020-01-04,25,Current,0,UK,50-200K,2020,1
Barclays,Business Loan,1079336.87,10.78,2023-10-24,10,Current,0,UK,500K+,2023,10
Barclays,Mortgage,172721.05,9.96,2022-08-12,5,Current,0,Asia,50-200K,2022,8
Barclays,Credit Card,11327.92,9.47,2023-08-02,25,Current,0,UK,10-50K,2023,8
Barclays,Credit Card,7546.29,7.73,2019-10-10,10,Current,0,Asia,<10K,2019,10
Barclays,Personal Loan,11741.58,3.92,2019-03-25,10,Current,0,UK,10-50K,2019,3
Barclays,Business Loan,1270200.31,9.74,2019-09-27,10,Current,0,Europe,500K+,2019,9
Barclays,Mortgage,244931.33,12.49,2019-08-14,5,Current,0,Europe,200-500K,2019,8
Barclays,Personal Loan,18894.53,6.47,2022-07-01,2,Current,0,US,10-50K,2022,7
Barclays,Credit Card,16386.2,9.73,2019-07-08,25,Current,0,Europe,10-50K,2019,7
Barclays,Business Loan,840293.93,10.33,2021-03-05,5,Current,0,Europe,500K+,2021,3
Barclays,Personal Loan,21214.9,7.97,2022-10-30,30,Current,0,Asia,10-50K,2022,10
Barclays,Auto Loan,54644.3,11.34,2020-04-06,20,Current,0,US,50-200K,2020,4
Barclays,Mortgage,94782.4,8.57,2021-02-09,25,Current,0,Europe,50-200K,2021,2
Barclays,Mortgage,337165.73,9.93,2021-03-14,3,Current,0,Europe,200-500K,2021,3
Barclays,Auto Loan,45268.8,10.64,2019-11-11,15,Current,0,US,10-50K,2019,11
Barclays,Mortgage,87414.76,12.45,2020-04-29,25,Current,0,UK,50-200K,2020,4
Barclays,Business Loan,65559.33,9.78,2019-01-29,30,Current,0,UK,50-200K,2019,1
Barclays,Auto Loan,15584.51,7.41,2022-06-13,1,Current,0,Middle East,10-50K,2022,6
Barclays,Business Loan,311904.49,8.84,2021-01-30,30,Current,0,Middle East,200-500K,2021,1
Barclays,Business Loan,661078.58,4.71,2021-05-19,5,Current,0,Middle East,500K+,2021,5
Barclays,Business Loan,1568945.24,10.75,2022-03-09,5,Current,0,US,500K+,2022,3
Barclays,Business Loan,816805.44,3.5,2022-09-16,1,Current,0,UK,500K+,2022,9
Barclays,Business Loan,352492.26,8.01,2019-06-14,30,Current,0,UK,200-500K,2019,6
Barclays,Mortgage,104461.85,7.8,2023-05-25,15,Current,0,US,50-200K,2023,5
Barclays,Mortgage,325662.36,6.44,2021-11-03,3,Current,0,US,200-500K,2021,11
Barclays,Personal Loan,10557.28,7.4,2021-03-05,15,Current,0,Europe,10-50K,2021,3
Barclays,Personal Loan,26661.86,4.76,2021-08-23,15,Current,0,UK,10-50K,2021,8
Barclays,Business Loan,384861.09,11.02,2021-12-04,2,Current,0,UK,200-500K,2021,12
Barclays,Business Loan,1305415.13,4.4,2021-03-29,30,Current,0,UK,500K+,2021,3
Barclays,Business Loan,1567669.37,6.1,2021-12-14,10,Current,0,Asia,500K+,2021,12
Barclays,Auto Loan,37008.93,4.33,2020-02-12,25,Current,0,US,10-50K,2020,2
Barclays,Business Loan,1074727.84,6.89,2022-05-27,3,Current,0,Europe,500K+,2022,5
Barclays,Auto Loan,43383.3,6.92,2022-11-15,1,Current,0,US,10-50K,2022,11
Barclays,Auto Loan,45913.81,8.08,2019-12-26,20,Current,0,US,10-50K,2019,12
Barclays,Business Loan,1926199.75,12.46,2021-10-30,25,Current,0,US,500K+,2021,10
Barclays,Auto Loan,40744.72,6.21,2020-02-09,1,Current,0,UK,10-50K,2020,2
Barclays,Mortgage,229009.92,10.98,2023-03-29,5,Current,0,UK,200-500K,2023,3
Barclays,Personal Loan,18834.9,9.72,2019-12-19,1,Current,0,UK,10-50K,2019,12
Barclays,Mortgage,219847.03,4.44,2022-01-27,10,Current,0,UK,200-500K,2022,1
Barclays,Personal Loan,41392.83,7.24,2023-12-30,25,Current,0,Europe,10-50K,2023,12
Barclays,Mortgage,435982.77,9.06,2023-07-01,3,Current,0,UK,200-500K,2023,7
Barclays,Personal Loan,14774.95,5.34,2019-07-17,20,Current,0,Asia,10-50K,2019,7
Barclays,Business Loan,1563875.45,6.91,2020-08-31,5,Current,0,Asia,500K+,2020,8
Barclays,Mortgage,344587.8,12.24,2021-09-14,3,Current,0,US,200-500K,2021,9
Barclays,Business Loan,1052856.52,3.74,2023-06-02,20,Current,0,US,500K+,2023,6
Barclays,Business Loan,1015613.29,9.7,2019-03-21,2,Current,0,UK,500K+,2019,3
Barclays,Personal Loan,22249.44,3.97,2023-11-14,25,Current,0,US,10-50K,2023,11
Barclays,Personal Loan,31818.23,8.46,2020-09-01,15,Current,0,US,10-50K,2020,9
Barclays,Personal Loan,12379.8,6.18,2023-01-10,5,Current,0,Europe,10-50K,2023,1
Barclays,Auto Loan,12189.97,9.78,2023-07-19,15,Current,0,UK,10-50K,2023,7
Barclays,Mortgage,318081.42,11.81,2022-12-27,25,Current,0,UK,200-500K,2022,12
Barclays,Business Loan,1275015.45,12.33,2023-08-28,1,Current,0,UK,500K+,2023,8
Barclays,Business Loan,1211190.75,5.18,2022-03-04,3,Current,0,US,500K+,2022,3
Barclays,Personal Loan,19148.13,8.8,2019-05-27,15,Current,0,UK,10-50K,2019,5
Barclays,Mortgage,191638.94,6.59,2023-01-13,1,Current,0,Europe,50-200K,2023,1
Barclays,Personal Loan,46310.85,10.76,2021-12-27,10,Current,0,Asia,10-50K,2021,12
Barclays,Personal Loan,49589.69,8.53,2023-02-17,20,Current,0,Asia,10-50K,2023,2
Barclays,Auto Loan,8882.34,9.64,2020-05-14,25,Current,0,UK,<10K,2020,5
Barclays,Personal Loan,36229.43,11.02,2023-02-21,20,Current,0,Europe,10-50K,2023,2
Barclays,Personal Loan,5164.12,8.09,2019-03-18,15,Current,0,Europe,<10K,2019,3
Barclays,Mortgage,279665.24,10.94,2021-09-20,3,Current,0,UK,200-500K,2021,9
Barclays,Personal Loan,46180.05,7.07,2020-06-14,1,90+ DPD,1,UK,10-50K,2020,6
Barclays,Business Loan,524152.63,6.6,2022-12-23,3,Current,0,Europe,500K+,2022,12
Barclays,Personal Loan,9911.32,6.11,2022-04-05,20,Current,0,US,<10K,2022,4
Barclays,Personal Loan,18678.11,8.52,2020-07-12,2,Current,0,Europe,10-50K,2020,7
Barclays,Business Loan,201976.4,8.78,2023-04-15,5,Current,0,UK,200-500K,2023,4
Barclays,Mortgage,398816.16,11.37,2021-01-24,5,Current,0,UK,200-500K,2021,1
Barclays,Mortgage,478440.33,12.32,2019-03-31,20,Current,0,Europe,200-500K,2019,3
Barclays,Business Loan,680160.45,9.24,2019-05-02,15,Current,0,US,500K+,2019,5
Barclays,Mortgage,229304.25,11.14,2023-02-26,2,Current,0,Middle East,200-500K,2023,2
Barclays,Personal Loan,37781.15,7.37,2019-10-23,2,Current,0,US,10-50K,2019,10
Barclays,Auto Loan,40377.08,4.68,2020-04-27,25,Current,0,US,10-50K,2020,4
Barclays,Business Loan,405440.17,8.26,2023-03-17,10,Current,0,Middle East,200-500K,2023,3
Barclays,Business Loan,593224.92,7.91,2021-08-14,20,Current,0,UK,500K+,2021,8
Barclays,Mortgage,202376.17,11.6,2022-12-07,15,Current,0,Asia,200-500K,2022,12
Barclays,Personal Loan,35076.8,4.32,2019-05-15,3,Current,0,US,10-50K,2019,5
Barclays,Mortgage,163619.48,3.91,2022-09-08,30,Current,0,Europe,50-200K,2022,9
Barclays,Mortgage,302110.56,7.27,2022-06-19,30,Current,0,UK,200-500K,2022,6
Barclays,Business Loan,469808.34,4.62,2019-03-08,3,Current,0,US,200-500K,2019,3
Barclays,Mortgage,138749.3,9.41,2021-11-27,25,Current,0,UK,50-200K,2021,11
Barclays,Mortgage,109673.37,9.16,2021-03-18,20,Current,0,UK,50-200K,2021,3
Barclays,Mortgage,461170.82,11.6,2021-03-14,15,Current,0,US,200-500K,2021,3
Barclays,Credit Card,13611.76,10.16,2023-11-26,5,Current,0,UK,10-50K,2023,11
Barclays,Mortgage,160776.27,5.71,2022-11-18,1,Current,0,US,50-200K,2022,11
Barclays,Auto Loan,54049.58,9.82,2021-09-14,10,Current,0,US,50-200K,2021,9
Barclays,Personal Loan,15547.77,3.7,2021-04-11,20,Current,0,UK,10-50K,2021,4
Barclays,Business Loan,611888.4,4.65,2019-05-28,10,Current,0,UK,500K+,2019,5
Barclays,Business Loan,221469.69,5.23,2022-07-28,3,Current,0,Asia,200-500K,2022,7
Barclays,Mortgage,445866.08,4.13,2020-06-14,10,Current,0,UK,200-500K,2020,6
Barclays,Credit Card,8706.05,8.82,2023-09-25,30,Current,0,US,<10K,2023,9
Barclays,Business Loan,824456.16,8.57,2021-01-19,1,Current,0,Europe,500K+,2021,1
Barclays,Business Loan,185655.97,8.02,2022-02-11,10,Current,0,US,50-200K,2022,2
Barclays,Mortgage,317424.57,10.44,2023-04-10,2,Current,0,UK,200-500K,2023,4
Barclays,Business Loan,1461375.88,4.71,2020-04-25,10,Current,0,UK,500K+,2020,4
Barclays,Mortgage,387927.0,5.53,2021-12-18,30,Current,0,Europe,200-500K,2021,12
Barclays,Mortgage,222910.96,9.88,2020-09-04,2,Current,0,UK,200-500K,2020,9
Barclays,Business Loan,1026841.29,11.95,2019-10-02,20,Current,0,UK,500K+,2019,10
Barclays,Mortgage,254212.57,5.54,2019-03-08,2,Current,0,Europe,200-500K,2019,3
Barclays,Personal Loan,20150.57,12.11,2021-09-28,15,Current,0,Europe,10-50K,2021,9
Barclays,Mortgage,262104.59,8.51,2023-03-29,30,Current,0,UK,200-500K,2023,3
Barclays,Personal Loan,15978.11,12.25,2022-09-25,3,Current,0,Europe,10-50K,2022,9
Barclays,Mortgage,303801.5,10.59,2022-03-27,5,Current,0,Europe,200-500K,2022,3
Barclays,Mortgage,441830.04,4.94,2019-01-02,15,Current,0,Europe,200-500K,2019,1
Barclays,Business Loan,1463686.32,8.33,2020-11-22,3,Current,0,Asia,500K+,2020,11
Barclays,Mortgage,230031.51,9.98,2022-11-16,10,Current,0,UK,200-500K,2022,11
Barclays,Personal Loan,13939.25,7.7,2020-04-01,15,Current,0,UK,10-50K,2020,4
Barclays,Mortgage,469732.69,8.92,2022-12-27,25,Current,0,UK,200-500K,2022,12
Barclays,Mortgage,370253.13,3.64,2023-04-15,30,Current,0,UK,200-500K,2023,4
Barclays,Credit Card,22264.22,6.36,2019-04-10,2,Current,0,UK,10-50K,2019,4
Barclays,Mortgage,108787.62,9.66,2019-06-22,2,Current,0,Middle East,50-200K,2019,6
Barclays,Credit Card,3975.56,11.47,2023-01-06,1,Current,0,Asia,<10K,2023,1
Barclays,Mortgage,99047.5,7.03,2022-11-08,1,Current,0,UK,50-200K,2022,11
Barclays,Business Loan,1754869.54,3.82,2022-09-22,2,Current,0,UK,500K+,2022,9
Barclays,Personal Loan,33948.26,10.93,2021-05-20,15,Current,0,UK,10-50K,2021,5
Barclays,Mortgage,411109.99,12.21,2019-10-09,20,Current,0,Asia,200-500K,2019,10
Barclays,Auto Loan,24809.22,8.67,2023-12-07,3,Current,0,Europe,10-50K,2023,12
Barclays,Mortgage,199919.43,7.18,2021-12-16,30,Current,0,Asia,50-200K,2021,12
Barclays,Business Loan,1858517.32,9.15,2023-01-16,1,Current,0,UK,500K+,2023,1
Barclays,Mortgage,416365.39,12.32,2020-05-10,30,Current,0,Europe,200-500K,2020,5
Barclays,Personal Loan,38654.96,10.7,2019-02-28,3,Current,0,UK,10-50K,2019,2
Barclays,Business Loan,1487058.07,3.73,2022-05-05,3,Current,0,Europe,500K+,2022,5
Barclays,Auto Loan,43491.2,11.66,2022-12-21,5,Current,0,US,10-50K,2022,12
Barclays,Mortgage,183453.0,9.38,2020-02-26,3,Current,0,Asia,50-200K,2020,2
Barclays,Credit Card,2264.35,5.92,2022-01-16,25,Current,0,Europe,<10K,2022,1
Barclays,Personal Loan,40852.07,8.65,2022-05-12,20,Current,0,UK,10-50K,2022,5
Barclays,Mortgage,431330.83,11.32,2022-06-30,1,Current,0,Europe,200-500K,2022,6
Barclays,Business Loan,1408028.47,7.17,2021-06-14,15,Current,0,UK,500K+,2021,6
Barclays,Mortgage,337100.07,7.41,2020-07-14,30,Current,0,Asia,200-500K,2020,7
Barclays,Mortgage,441896.03,10.69,2020-04-28,3,Current,0,Europe,200-500K,2020,4
Barclays,Mortgage,387061.71,11.36,2019-12-02,10,Current,0,US,200-500K,2019,12
Barclays,Business Loan,1557520.81,7.16,2019-09-15,10,Current,0,Middle East,500K+,2019,9
Barclays,Personal Loan,24588.49,10.62,2022-07-17,3,Current,0,UK,10-50K,2022,7
Barclays,Mortgage,226121.29,12.18,2020-07-09,2,Current,0,Europe,200-500K,2020,7
Barclays,Auto Loan,53987.3,9.72,2023-02-03,30,Current,0,UK,50-200K,2023,2
Barclays,Business Loan,1470271.11,4.29,2019-05-23,3,Current,0,UK,500K+,2019,5
Barclays,Mortgage,283167.37,3.86,2020-01-03,10,Current,0,US,200-500K,2020,1
Barclays,Business Loan,1788983.91,4.07,2021-01-05,10,Current,0,UK,500K+,2021,1
Barclays,Mortgage,437114.41,9.95,2021-02-07,10,Current,0,US,200-500K,2021,2
Barclays,Auto Loan,36077.58,7.28,2020-06-24,3,Current,0,Europe,10-50K,2020,6
Barclays,Business Loan,255298.36,11.14,2022-12-03,30,Current,0,UK,200-500K,2022,12
Barclays,Auto Loan,55611.94,7.11,2022-02-05,1,Written Off,1,Asia,50-200K,2022,2
Barclays,Business Loan,1165684.33,5.69,2019-07-05,25,Current,0,US,500K+,2019,7
Barclays,Personal Loan,18387.08,5.08,2023-09-22,25,30-day DPD,0,UK,10-50K,2023,9
Barclays,Mortgage,345941.61,10.23,2019-07-09,15,Current,0,Asia,200-500K,2019,7
Barclays,Mortgage,238566.75,7.54,2022-12-11,2,Current,0,US,200-500K,2022,12
Barclays,Personal Loan,32562.19,8.49,2022-12-19,2,Current,0,Asia,10-50K,2022,12
Barclays,Auto Loan,8032.37,6.84,2021-08-23,25,Current,0,Europe,<10K,2021,8
Barclays,Business Loan,1489450.46,8.34,2020-12-25,5,Current,0,Europe,500K+,2020,12
Barclays,Business Loan,78293.81,7.35,2022-06-28,20,Current,0,Europe,50-200K,2022,6
Barclays,Auto Loan,39017.03,11.84,2022-08-05,20,Current,0,UK,10-50K,2022,8
Barclays,Mortgage,290102.73,8.52,2023-06-10,1,Current,0,Asia,200-500K,2023,6
Barclays,Personal Loan,34899.13,10.87,2023-01-01,30,Current,0,UK,10-50K,2023,1
Barclays,Auto Loan,57964.85,5.89,2023-06-19,30,Current,0,Europe,50-200K,2023,6
Barclays,Credit Card,17300.12,12.07,2021-08-15,1,Current,0,US,10-50K,2021,8
Barclays,Personal Loan,18681.65,6.09,2022-06-24,25,Current,0,UK,10-50K,2022,6
Barclays,Business Loan,642771.48,9.76,2023-12-02,2,Current,0,US,500K+,2023,12
Barclays,Business Loan,1451256.21,11.34,2022-03-07,25,Current,0,US,500K+,2022,3
Barclays,Mortgage,295328.27,4.68,2019-11-02,5,Current,0,Middle East,200-500K,2019,11
Barclays,Personal Loan,17048.1,9.8,2020-10-27,30,30-day DPD,0,Asia,10-50K,2020,10
Barclays,Mortgage,353969.64,12.17,2019-06-16,3,30-day DPD,0,US,200-500K,2019,6
Barclays,Mortgage,325072.42,12.3,2020-05-20,10,Current,0,UK,200-500K,2020,5
Barclays,Personal Loan,9689.19,11.82,2019-06-06,5,Current,0,Asia,<10K,2019,6
Barclays,Mortgage,404573.4,8.88,2019-07-28,25,Current,0,UK,200-500K,2019,7
Barclays,Mortgage,313979.69,9.78,2020-01-01,5,Current,0,US,200-500K,2020,1
Barclays,Personal Loan,34440.93,8.85,2022-05-03,3,Current,0,UK,10-50K,2022,5
Barclays,Mortgage,206853.06,4.88,2019-12-22,5,Current,0,Europe,200-500K,2019,12
Barclays,Credit Card,1929.47,11.36,2019-10-20,10,Current,0,US,<10K,2019,10
Barclays,Mortgage,228705.25,9.04,2023-04-07,2,30-day DPD,0,UK,200-500K,2023,4
Barclays,Mortgage,401520.32,5.65,2022-12-25,2,Current,0,US,200-500K,2022,12
Barclays,Personal Loan,39281.18,4.73,2022-04-23,2,Current,0,US,10-50K,2022,4
Barclays,Personal Loan,12746.54,3.7,2023-11-25,15,Current,0,US,10-50K,2023,11
Barclays,Auto Loan,31701.55,11.46,2022-07-26,10,Current,0,US,10-50K,2022,7
Barclays,Business Loan,905788.0,9.19,2021-06-20,1,Current,0,Europe,500K+,2021,6
Barclays,Business Loan,1146858.2,7.88,2022-06-02,2,Current,0,UK,500K+,2022,6
Barclays,Business Loan,1353067.01,11.82,2019-05-25,3,Current,0,US,500K+,2019,5
Barclays,Personal Loan,41901.95,11.82,2019-08-04,20,Current,0,US,10-50K,2019,8
Barclays,Business Loan,135459.48,6.29,2019-10-28,3,Current,0,US,50-200K,2019,10
Barclays,Business Loan,84986.16,10.05,2020-05-13,1,Current,0,Asia,50-200K,2020,5
Barclays,Personal Loan,47848.19,6.53,2021-10-04,1,Current,0,Asia,10-50K,2021,10
Barclays,Mortgage,144041.19,11.21,2021-04-26,3,Current,0,US,50-200K,2021,4
Barclays,Personal Loan,28460.78,8.62,2023-01-23,5,Current,0,UK,10-50K,2023,1
Barclays,Auto Loan,43520.37,5.95,2022-08-06,3,Current,0,US,10-50K,2022,8
Barclays,Business Loan,944998.0,6.78,2023-07-21,15,Current,0,US,500K+,2023,7
Barclays,Mortgage,458276.63,11.75,2019-11-15,2,Current,0,UK,200-500K,2019,11
Barclays,Business Loan,1715703.81,6.72,2023-01-01,30,Current,0,UK,500K+,2023,1
Barclays,Business Loan,745413.48,9.11,2022-10-28,30,Current,0,UK,500K+,2022,10
Barclays,Credit Card,6026.42,5.83,2021-02-26,25,Current,0,UK,<10K,2021,2
Barclays,Business Loan,1689454.83,11.11,2021-09-08,30,Current,0,US,500K+,2021,9
Barclays,Credit Card,3332.88,8.88,2021-02-03,2,Current,0,Middle East,<10K,2021,2
Barclays,Business Loan,1847097.0,8.34,2021-07-25,25,Current,0,UK,500K+,2021,7
Barclays,Mortgage,155052.82,7.36,2021-05-27,3,Current,0,UK,50-200K,2021,5
Barclays,Mortgage,476672.74,4.97,2022-12-28,10,Current,0,Europe,200-500K,2022,12
Barclays,Mortgage,283093.73,3.61,2019-08-12,3,Current,0,UK,200-500K,2019,8
Barclays,Mortgage,334966.41,8.54,2021-04-14,15,90+ DPD,1,UK,200-500K,2021,4
Barclays,Business Loan,202246.04,10.08,2019-12-01,2,Current,0,UK,200-500K,2019,12
Barclays,Mortgage,484406.2,10.65,2022-08-09,3,Current,0,US,200-500K,2022,8
Barclays,Business Loan,1569658.33,6.95,2019-06-26,15,Current,0,Asia,500K+,2019,6
Barclays,Business Loan,1353175.61,6.07,2022-08-20,1,Current,0,US,500K+,2022,8
Barclays,Mortgage,434960.38,4.73,2019-08-06,10,Current,0,US,200-500K,2019,8
Barclays,Credit Card,16781.95,8.21,2019-08-13,10,Current,0,US,10-50K,2019,8
Barclays,Auto Loan,35504.68,4.83,2020-06-21,15,Current,0,Europe,10-50K,2020,6
